,,,,,,"교황 -> 교주
신 -> 태양
상호작용 -> 기도/연설
(이벤트 아님)",,,"*수정*
교황 -> 교주
교황청(장소), 대성당 -> 대신전
교황청(단체) -> 교단
상호작용 -> 기도/연설
신 -> 태양",,,,,,,,,,,,,,,,,,
21101,10,스토리,INF,9,"13, 14, 20, 21",,1,충격! 암살 사건!,"회담장이 일순간 혼란에 휩싸였다!
오늘 (콘클라베 시간), 성스러운 썬ㅡ클라베 도중 (후보 2)이(가) 갑자기 피를 토하고 쓰러진 것이다!
소란이 가라앉고, 좌중은 (후보 1)을(를) 강하게 의심하고 있다!
과연 진실은 밝혀질 것인가?",확인,,후보 1의 정치력이 후보 2의 정치력보다 높다면 성공,"(후보 1)는 화려한 언변으로 좌중을 압도하였다!
누군가는 벌벌 떨리는 손으로, 또 누군가는 한껏 격앙된 얼굴로 말없이 그에게 표를 던졌다.
썬ㅡ클라베는 끝났다. 주사위는 던져졌다. (후보 1)의 취임 연설에는 조금의 망설임도 없었다.
이단은 척결되어야 한다!

썬ㅡ클라베 종료!","즉시 게임 종료
""성전"" 엔딩","진실은 금세 밝혀졌다. 암살의 배후에는 역시 (후보 1)(이)가 있었다.
(후보 1)는 즉시 파문되어 지하 감옥에 수감되었다.
그는 다시는 태양을 보지 못할 것이다.

(후보 1) 즉시 탈락!","후보 1, 후보 2 즉시 탈락",,,,,,,,,실행확률,"탈락구현x, 설명후보명출력구현x, 게임종료구현x",게임종료 구현은 엔딩 나오면
30000,11,스토리,40 + 0.1P,,,,1,새로운 전례,"쾅!
회담장의 고요한 정적을 깨고, 누군가 책상에 아주 두꺼운 서류 뭉치를 올려놓았다.
개혁주의자인 (후보 2)였다.
그는 전통적인 교리가 시대적 현실에 맞지 않다면서,
자신이 창안한 '태양의 전례'를 정식 미사 절차로 인정할 것을 요구하였다.
서류를 읽어 볼까?",번거롭더라도 서류를 읽어 본다!,경건함 30 이상,,"전통적인 미사에는 넓은 숲이 필요해서,
도시 지역의 사람들이 할 수 없다는 논지였다.
(후보 2)의 사려 깊은 생각이 느껴진다만,
내용이 지나치게 급진적이라 통과에 어려움을 겪을 것 같다.
모르겠다. 난 뭐가 됐든 은퇴하면 그만이니까!",,,,이런 좋은 베개가? 서류 더미를 베고 낮잠이나 잔다.,50%,"푹 잤더니 체력이 회복되었다!
태양만세 미사? 알 게 뭐람?

남은 회의 시간 20초 감소!
체력 30% 회복!","타이머 -20s
체력 +30","너무 푹 잤나? 자고 일어나 보니 회의가 전부 끝나 있었다!

이번 썬ㅡ클라베 즉시 종료!","진행 중인 콘클라베 종료
즉시 투표 및 판정 실시","빠르게 후보 두 명을 탈락시킬 수 있는 루트.
이후 리스크가 크게 늘어나지만,
레어 엔딩을 보려면 필수적으로 진입해야 함.",,,,
31000,12,스토리,20 + 0.1P,11,,,1,자연주의,"쾅!
한껏 달아오른 분위기 속, 누군가 책상을 주먹으로 치며 고함을 질렀다. (후보 3)였다.
원칙주의자인 그는, 태양의 에너지는 자연 속에서만 느낄 수 있다고 주장한다.
반면 (후보 2)는, 태양 에너지를 불러오는 '태양의 춤'을 춘다면 신학적으로 문제가 없다고 한다.
누구의 편을 들어 줄까?",(후보 3)을(를) 지지한다.,,,"몸장난으로 울창한 숲을 대체한다니, 당치도 않다!
당신의 조리 있는 연설로 (후보 3)은 유리한 입지를 얻었다.
한동안 (후보 2)는 매우 피곤할 것 같다.

(후보 3)의 정치력 +20
공작에서 (후보 2)이(가) 받는 체력 피해 15 증가!","후보 3 정치력 +20
공작 사용 시, 후보 2가 받는 체력 피해가 있다면 +15",,,(후보 2)을(를) 지지한다.,,"태양의 미사'는 도시의 신도들에게 매력적인 선택지가 될 것이다!
당신의 조리있는 연설로 (후보 2)은(는) 유리한 입지를 얻었다.
한동안 (후보 3)은(는) 매우 피곤할 것 같다.

(후보 2)의 정치력 +20
공작에서 (후보 3)이(가) 받는 체력 피해 15 증가!","후보 2 정치력 +20
공작 사용 시, 후보 3이 받는 체력 피해가 있다면 +20","지난 썬ㅡ클라베 때 너무 푹 잤나?
'태양의 미사'의 내용과 관련해서 큰 실수를 하고 말았다!
정치적 입지에 큰 손상이 있을 것 같다.
좀 쪽팔리긴 하지만, 오히려 좋아.

정치력 30 감소!
체력 20 감소!","정치력 -30
체력 -20",,,,"공작피해증폭구현x, 설명후보명출력구현x, 선택2실패확률구현x",
31100,13,스토리,20,12,"8, 9, 15, 16, 20, 21",후보 3 탈락,4,반란 모의,"알래스카로 잠적한 (후보 3)이(가) 북극곰들과 함께 반란을 모의하고 있다는 첩보가 들어왔다.
교단 내 최고 강경파인 (후보 1)와(과) (후보 2)이(가) 힘을 모아 성전을 주장하는 가운데,
많은 추기경들이 당신이 앞장서 분위기 과열을 막기를 원하고 있다!
교단의 운명이 당신의 손에 달렸다! 당신이 원하는 것은 무엇일까?",평화다!,경건함 60 이상,,"피 말리는 회의 끝에, 원대한 군사 작전은 은밀한 첩보 작전으로 축소되었다!
교단 특사를 보내 반란군과 협상을 하는 척하면서, 첩보원을 보내서 내부의 사기를 꺾는다.
이후 300명 정도의 특수부대만 보내면 아무리 많은 북극곰이라도 포위섬멸할 수 있을 것이다!
교단이 평화를 되찾았다! 당신은 평화의 사도로서 큰 존경을 받게 되었다! 좋은 건가?

경건함 40 증가!
정치력 15 증가!","경건함 +40
정치력 +15",,,"성전은 내 알 바 아니고, 안락한 노후다!",,"당신은 자신의 안위 앞에 눈을 감고야 말았다.
정적이였던 (후보 1)와(과) (후보 2)의 합동 공작을 막아설 추기경은 아무도 없었다.
치열한 정치 암투극 끝에, (후보 1)은(는) 결국 (후보 2)을(를) 암살하고 교주 자리에 올랐다.
성전이 선포되었다. 주사위는 던져졌다. 출병식을 앞둔 (후보 1)의 눈길에는 한 치의 망설임도 없었다!

남은 후보 즉시 탈락!
썬ㅡ클라베 종결!","게임 오버
""성전"" 엔딩",,,특수 엔딩 이벤트의 시작.,,,"선택2효과구현x, 기피조건구현x",
31101,14,스토리,10 + 0.05P,13,"8, 9, 15, 16, 20, 21",13번 이벤트에서 선택지 1 선택,1,북극곰의 반란,"북극곰들이 쳐들어온다!
알래스카로 잠적했던 (후보 3)이 비밀리에 육성했던 북극곰들이 앞발에 콜라를 들고 대신전 앞까지 밀려들어왔다!
교단의 특수부대가 전멸한 상황, 이제 북극곰 군단을 막을 수 있는 건 신성한 태양의 힘밖에 없다!
지금 내가 나서 해결하지 않으면 노후는 무슨, 지하감옥에서 평생을 썩어야 할 수도 있다!",태양의 힘을 보여 준다!,경건함 80 이상,,"당신은 숨을 크게 들이쉬고, 태양의 기운을 담아 내쉰다.
당신의 눈은 태양처럼 빛난다. 당신의 다리는 불처럼 강인하다.
입김이 닿는 곳마다 태양의 기운으로 충만하다.
북극곰들은 태양의 기운에 감화되어 당신에게 깨달음을 갈구한다.
태양의 축복 받은 자여, 기뻐하라.

승리!","게임 오버
""대현자"" 엔딩",,,도망간다. 곰은 사람을 찢어.,,"당신은 숨을 크게 들이쉬고, 발에 불이 나도록 굴러 도망간다.
교단은 (후보 3)와(과) 북극곰들이 세운, 알래스카 트로츠키주의 사회인민공화국이 접수한다.
만국의 인민이여, 단결하라. 북극곰 만세, 사회주의 만세, (후보 3) 만세.","게임 오버
""북극곰"" 엔딩",,,"북극곰 승리 엔딩을 보려면
1. 새로운 전례 이벤트에서 후보 3을 빠르게 탈락시키기
2. 반란 모의 이벤트 발생 시 경건함 60 이상 보유
3. 이후 북극곰의 반란이 일어날 때까지 경건함 80 이상으로 생존",,,"효과구현x, 발생조건구현x, 기피조건x",
31200,15,스토리,40,12,"8, 9, 13, 14, 20, 21","후보 2 탈락, 후보 1 생존",1,이단과 소문,"교단의 분위기가 심상치 않다!
대신전 앞마당에서, (후보 2)의 지지자들이 단체로 '태양의 춤'을 추며 기도 중이다.
썬ㅡ클라베 내부에서는 저들이 하는 행동이 이단인지에 대한 논의가 있다.
(후보 3)은 하루빨리 '이단적인 태양춤 시위'를 금지하기를 원한다. 동조할까?",태양만세 시위를 이단으로 지정하자!,,,"대신전에서는 대규모 시위 금지령을 내려 태양만세 기도를 자제하도록 유도한다.
(후보 3)의 은밀한 정치 공작에 의해, 태양만세 춤이 이단으로 지정될 것이라는 찌라시가 대신전 바깥으로 서서히 스며나온다.
광장의 열기가 다소 식어가는 건 기분 탓일까?",,,,기도의 방식은 개인의 자유다!,,"안타깝게도 (후보 3)의 의견에는 동조할 수 없다.
(후보 2)은(는) 선한 사람이고, 나는 (후보 2)을(를) 지지한다!

(후보 2), 체력/정치력/경건함 60으로 순위권 재진입","후보 2 체력/정치력/경건함 60으로 부활
이후 후보 2가 당선되면 '태양만세' 엔딩",,,,,,"효과구현x, 발생조건구현x, 기피조건x",
31210,16,스토리,40,15,"8, 9, 13,14, 20, 21",13번 이벤트에서 1번 선택지 선택,1,태양 만세!,"썬ㅡ클라베에서 '태양의 춤'이 이단으로 논의된다는 소문이 퍼지자,
대신전 광장 앞에 수많은 인파가 모여 ""태양 만세""를 외치며 집회 중이다.
시위 구호 때문에 회의가 제대로 진행되지 않을 정도다.
열띤 토의 끝에, 잠시 휴회를 하고 창문 밖의 신도들에게 사과와 해명을 하기로 했다.
누가 해야 할까?",명망높은 사제인 내가 직접 간다.,경건함 40 이상,,"백오십 년 만에 이례적으로 썬ㅡ클라베가 휴회 결정을 내렸다.
당신은 발코니의 문을 열고, 어렵게 입술을 뗀다.
죄송하다, 이단 논란 같은 것은 없다, 여러분의 의견을 존중한다, 태양의 축복을 빈다...
당신의 진심 어린 호소에 사람들은 감동의 눈물을 흘린다.
아까 돌멩이 맞은 데가 아파서 당신도 눈물을 찔끔 흘린다.

체력 20 감소!
정치력 20 증가!
(후보 3)의 정치력 30 감소!","체력 -20
정치력 +20
후보 3 정치력 -30",,,사건의 장본인인 (후보 3)을(를) 보낸다.,50%,"백오십 년 만에 이례적으로 썬ㅡ클라베가 휴회 결정을 내렸다.
(후보 3)은(는) 발코니의 문을 열고, 갑자기 주먹을 들어올린다! 사람들이 돌멩이를 던진다.
당신들은 이단이다...라는 말이 나오기 직전에, 주변의 추기경들이 (후보 3)을(를) 창문에서 멀리하고 군중을 설득한다.
사람들은 마지못해 흩어진다.

(후보 3)의 정치력 50 감소!
모든 후보의 체력 20 감소!","후보 3 정치력 -50
체력 -20
후보 1, 2, 3 체력 -20","백오십년 만에 이례적으로 썬ㅡ클라베가 휴회 결정을 내렸다.
(후보 3)은(는) 발코니의 문을 열고, 갑자기 주먹을 들어올린다! 몇몇 사람들이 돌을 던진다.
(후보 3)이(가) 돌을 맞고 쓰러진다! 군중들이 편을 나눠 싸우기 시작한다.
교단 근위대가 성난 군중을 해산시켰지만, 회의 분위기가 심상치 않다!
결국 (후보 2)은(는), 종교 개혁을 선언하며 회의장을 박차고 나가버리고 말았다.

(후보 2) 탈락!
(후보 3)의 체력 40 감소, 정치력 50 증가!","후보 2 탈락
후보 3 체력 -40
후보 3 정치력 +50",,,,"탈락구현x, 발생조건구현x, 설명후보명출력구현x, 기피조건구현x",
31211,17,스토리,40,16,"8,9,13,14,15, 20, 21","후보 1 생존,
16번 이벤트에서 선택지 2 실패",1,신교와 성전,"이단이다!
회의장을 박차고 나가버린 (후보 2)은(는), 종교개혁을 선포하며 교단과의 절연을 발표했다.
(후보 1)은(는) 신속하게 썬ㅡ클라베를 끝내고 성전을 준비하자고 건의한다.
유력한 후보인 당신의 지지 선언이면, (후보 1)을(를) 당선시키는 것은 시간 문제일 것이다.
한동안 세계는 전쟁의 마수에 휩싸일 것이지만, 은퇴만 할 수 있다면 아무렴 어떤가?
세계의 운명이 당신의 손에 달렸다!",(후보 1)을(를) 지지한다!,,,"(후보 1)을 막을 수 있는 사람은 아무도 없었고,
썬ㅡ클라베는 광기에 휩쓸려 빠르게 마무리되었다.
교단은 이단을 척결하기로 굳게 결의하였다.
성전이다, 우매한 이단들아!!

남은 후보 즉시 탈락!
썬ㅡ클라베 종결!","게임 오버
""성전"" 엔딩",,,(후보 1)을(를) 막아선다!,,,,,,,,,"엔딩구현x, 설명후보명출력구현x, 발생조건구현x, 기피조건구현x",
31212,18,스토리,10,,"19, 20, 21",,3,디아나의 보물,"교단 직속 탐험가인 디아나 존스가 고대 유적지 도굴... 아니 탐험을 마치고 돌아왔다!
수십 마리의 코끼리와 기린들, 금은보화로 가득찬 수레들...
그 중에서도 가장 빛나는 것은 고대 태양교 경전이 적힌 커다란 황금 판이다.
황금 경판을 읽어 볼까?",황금 경판을 낭독한다!,경건함 30 이상,2%,"당신은 숨을 크게 들이쉬고, 태양의 기운이 담긴 판을 낭독한다.
경전의 오묘한 신비에 취해 당신은 무아지경에 빠진다. 당신의 몸에 태양의 힘이 깃든다.
당신의 목소리는 낮고 평안하면서도, 대신전 전체에 우레처럼 울러퍼진다.
이윽고 하늘에서 밝은 빛줄기가 내려온다. 당신의 영혼이 대지를 떠나 태양을 향해 떠오른다.

승리!","게임 오버
""승천"" 엔딩","당신은 태양의 기운이 담긴 황금 경판을 집어든다.
당연한 소리지만, 고대의 사제들만이 사용하던 비밀스러운 상형 문자로 적혀 있다.
읽을 수는 없을 것 같다.

아이템 '황금 경판' 획득!", 황금 경판 획득,주변의 보물 중 챙길 게 있는지 확인해 본다!,,"오... 좋은 아이템을 찾았다!

(아이템 이름) 획득!",랜덤 일반 아이템 획득,,,,,,"엔딩구현x, 기피 x",
31213,19,스토리,40,18,,,1,비밀 문자 해독,"고고학자들이 디아나가 가져온 황금 경판을 해독한 결과를 제출하였다.
태초에 말씀이 계셨다...어라? 우리가 알고 있는 경전과 다른 부분이 꽤 많다!
특히 몇몇 부분은 교리에 어긋나는 내용들이 존재한다.
(후보 3)은(는) 유물은 태양의 계시이므로, 내용을 공표하고 교리를 바꿔야 할 것이라고 주장한다.
한편 (후보 1)은(는) 교리의 정통성과 신학적 우월함을 주장하며, 경전의 내용을 비밀에 부칠 것을 주장한다.
누구의 편을 들어야 할까?",(후보 1)을(를) 지지한다!,,,"숭고하고 합리적인 행동을 통해 지고의 구원을 찾을 수 있다는 태양교의 교리를 견지하며, 당신은 경전에 대한 교리의 우월성을 좌중에게 환기하였다.
다른 말로는, 귀찮으니 그냥 믿던 거 믿자는 뜻이다.

정치력 10 증가!
(후보 1)의 정치력 30 증가!","정치력 +10
후보 1 정치력 +30",,,(후보 3)을(를) 지지한다!,,"계시를 믿고 따르는 것이 지극히 마땅한 일이다!
황금 경전의 내용을 공표하고 교리를 다시 연구하자!
...이제 (후보 3)한테 묻어가면 쟤가 당선되는 거지?

경건함 20 증가!
(후보 3)의 정치력 30 증가!","경건함 +20
후보 3 정치력 +30",,,,,,설명후보명출력x,
32000,20,스토리,40,19,,19번 이벤트에서 선택지 2 선택,1,폭탄 테러!,"대신전 앞 광장에서 이교도의 모자를 쓴 한 젊은이가 고함을 지르고 있다.
'새로운 경전에 따라 태양은 달의 하수인임을 인정하라!'
그의 조끼에는... 폭탄이 둘러져 있다!",이교도와의 대화를 시도한다!,,90%,"당신은 빠르게 회의장의 분위기를 진정시키고, 이교도를 설득해 돌려보낼 방법을 물색한다.
평화주의자인 (후보 2)이(가) 나와서, 평화를 설파하며 이교도를 축복하고 포옹하는데...
푹, 하는 소리와 함께 (후보 2)의 로브에 피가 흥건해진다.
그러나 그는 일말의 증오도 드러내지 않고, 인자한 웃음으로 용서와 평화의 메세지를 전했다!
결국 이교도는 눈물을 흘리며 조끼를 벗는다.

썬ㅡ클라베 중단!
(후보 2)의 경건함 80 증가!
(후보 2) 쓰러짐!","해당 콘클라베 즉시 종료
후보 2 경건함 +80
후보 2 체력 -100
(원래 기획대로, 체력이 처음으로 0이라면 내일 부활,
두 번째라면 탈락 처리)","당신은 빠르게 회의장의 분위기를 진정시키고, 이교도를 설득해 돌려보낼 방법을 물색한다.
평화주의자인 (후보 2)이(가) 나와서, 평화를 설파하며 이교도와 악수를 하려고 하자...
펑! 귀청이 떨어져 나갈 것 같은 무시무시한 폭음과 함께 폭탄 조끼가 터지고 말았다.
회의장이 혼비백산에 빠진다.

썬ㅡ클라베 중단!
(후보 2) 사망!
모든 후보의 체력 20 감소!
모든 후보의 정치력 30 감소!","해당 콘클라베 즉시 종료
후보 2 탈락 처리
플레이어와 후보 1, 2, 3 체력 -20
플레이어와 후보 1, 2, 3 정치력 -30",저격수를 배치해 이교도를 사살한다!,,"교단 근위대에 연락하여 은밀히 저격수를 배치하였다.
근위대와의 긴 대치 끝에 이교도가 폭탄 조끼를 만지려 하자,
버튼을 누르기도 전에 총알이 그의 머리를 꿰뚫었다.
혼란에 빠진 군중을 근위대가 빠르게 해산시켰다.

썬ㅡ클라베 중단!
모든 후보 경건함 40 감소!","플레이어와 후보 1, 2, 3 경건함 -40",,,,,,"발생조건구현x, 후보탈락처리x",
32001,21,스토리,INF,20,22,20번 이벤트에서 1번 선택지 실패,1,이교도와 성전,"대신전 폭탄 테러 사건을 수습하고 다시 열린 썬ㅡ클라베.
(후보 1)은(는) 당장 회의를 중단하고 성전을 일으킬 것을 종용한다.
신중파인 (후보 3)은(는) 외교적 방법을 제안하며 필사적으로 성전을 막고 있다.
교단의 운명이 당신의 손에 달렸다! (후보 3)을(를) 도와 성전을 막을 것인가?",성전만큼은 막아야 한다!,경건함 50 이상,,"끈질긴 설득 끝에, 원대한 군사 작전은 경제 재제와 외교적 항의로 축소되었다!
교단이 평화를 되찾았다! 당신은 평화의 사도로서 큰 존경을 받게 되었다! 좋은 건가?

경건함 20 증가!
정치력 15 증가!",,,,(후보 1) 교주 시키고 나는 은퇴나 할란다!,,"(후보 1)는 화려한 언변으로 좌중을 압도하였다!
누군가는 벌벌 떨리는 손으로, 또 누군가는 한껏 격앙된 얼굴로 말없이 그에게 표를 던졌다.
썬ㅡ클라베는 끝났다. 주사위는 던져졌다. (후보 1)의 취임 연설에는 조금의 망설임도 없었다.
이단은 척결되어야 한다!

썬ㅡ클라베 종료!","게임 종료
""성전"" 엔딩",,,,,,"발생조건x, 엔딩처리x",
